N;Code;New;Name;Price;Izd;Pages;Format;Date;Pressrun;Themes;Category
1;4704;ЛОЖЬ;Самоучитель работы на персональном компьютере: 3е изд., доп.;17,40;BHV Киев;640;70х100/16;23.02.2000;10000;Использование ПК в целом;Учебники
2;5110;ЛОЖЬ;Аппаратные средства мультимедия. Видеосистема РС;15,51;BHV С.-Петербург;400;70х100/16;24.07.2000;5000;Использование ПК в целом;Учебники
3;4316;ЛОЖЬ;Основы работы на ПК;19,91;BHV С.-Петербург;440;70х100/16;11.01.2000;3000;Использование ПК в целом;Учебники
4;5516;ЛОЖЬ;Iнформатика-7. Експерементальний навчальний посiбник для учнiв 7 класу;9,00;DiaSoft;208;70х100/16;13.11.2000;2000;Использование ПК в целом;Учебники
5;4043;ИСТИНА;Работа на персональном компьютере. Самоучитель;19,00;DiaSoft;584;84х108/16;05.08.1999;3000;Использование ПК в целом;Учебники
6;5228;ЛОЖЬ;Толковый словарь компьютерных технологий;29,00;DiaSoft;720;70х100/16;25.10.2000;2000;Использование ПК в целом;Учебники
7;4756;ЛОЖЬ;Основи iнформатики Екзаменацiйнi бiлети:запитання та вiдповiдi;5,00;DiaSoft UP;160;84х108/16;;0;Использование ПК в целом;Учебники
8;4985;ЛОЖЬ;Освой самостоятельно модернизацию и ремонт ПК за 24 часа, 2-е изд.;18,90;Вильямс;288;70х100/16;07.07.2000;5000;Использование ПК в целом;Учебники
9;5141;ЛОЖЬ;Структуры данных и алгоритмы.;37,80;Вильямс;384;70х100/16;29.09.2000;5000;Использование ПК в целом;Учебники
10;3055;ЛОЖЬ;Новейший самоучитель работы на компьютере;18,48;ДЭСС;654;70х100\16;01.09.1998;10000;Использование ПК в целом;Учебники
11;4712;ЛОЖЬ;Новейший самоучитель по работе в Интернет;19,29;ДЭСС;528;70х100/16;21.03.2000;10000;Использование ПК в целом;Учебники
12;4241;ЛОЖЬ;"ПК для ""чайников"",7 е издание";13,20;Диалектика;318;70х100/16;23.11.1999;5000;Использование ПК в целом;Учебники
13;1395;ЛОЖЬ;Информатика часть 4. Теоретическая информатика.;5,95;Диалог-МИФИ;224;60х84\16;06.04.1998;1000;Использование ПК в целом;Учебники
14;696;ЛОЖЬ;IBM PC для пользователя. Краткий курс;12,00;Инфра-М;480;60х90/16;05.01.1998;50000;Использование ПК в целом;Учебники
15;272;ЛОЖЬ;IBM PC для пользователя. Изд. 7е, переработанное и дополненное;26,85;Инфра-М;640;84х108/16;17.02.1997;30000;Использование ПК в целом;Учебники
16;4264;ЛОЖЬ;Практикум по информационным технологиям;9,52;Лаборатория Базовых Знаний;272;70х100/16;05.10.1999;10000;Использование ПК в целом;Учебники
17;5203;ЛОЖЬ;Учимся музыке на компьютере;15,40;Лаборатория Базовых Знаний;272;70х90/16;22.06.2000;5000;Использование ПК в целом;Учебники
18;5200;ЛОЖЬ;Автоматизированное рабочее место математика с CD;46,21;Лаборатория Базовых Знаний;752;70х100/16;22.05.2000;3000;Использование ПК в целом;Учебники
19;5114;ЛОЖЬ;MS Visio 2000 краткий курс;8,10;Питер;256;84х100/32;01.09.2000;4000;Использование ПК в целом;Учебники
20;5127;ЛОЖЬ;Автоматизация инженерно- графических работ;11,58;Питер;256;70х100/16;15.06.2000;5000;Использование ПК в целом;Учебники
21;5225;ЛОЖЬ;Приемы объектно-ориентированного проектирования. Паттерны проектирования.;20,82;Питер;368;70х100/16;08.10.2000;5000;Использование ПК в целом;Учебники
22;5202;ЛОЖЬ;Первые шаги пользователя ПК с дискетой;16,69;Познавательная книга;200;70х100/16;26.06.2000;5000;Использование ПК в целом;Учебники
23;5077;ЛОЖЬ;Курс молодого бойца 2000;15,49;Русская редакция;544;;15.08.2000;10000;Использование ПК в целом;Учебники
24;4693;ЛОЖЬ;А+ Сертификация. Учебный курс;25,26;Русская редакция;512;;10.03.2000;4000;Использование ПК в целом;Учебники
25;5348;ЛОЖЬ;Краткий самоучитель пользователя;7,58;СОЛОН - Р;160;70х100/16;;10000;Использование ПК в целом;Учебники
26;5083;ЛОЖЬ;Персональный учитель по персональному компьютеру. 2-е издание;19,29;СОЛОН - Р;822;70х100/16;;5000;Использование ПК в целом;Учебники
27;5431;ЛОЖЬ;Обучающие программы;21,32;СОЛОН - Р;528;70х100/16;;4000;Использование ПК в целом;Учебники
28;2880;ЛОЖЬ;Компьютер для менеджера 2;28,38;Триумф;384;;;0;Использование ПК в целом;Учебники
29;2881;ЛОЖЬ;Компьютер для менеджера. Быстрый старт;29,47;Триумф;384;70х100/16;22.10.1998;0;Использование ПК в целом;Учебники
30;868;ЛОЖЬ;Ликвидация компьютерной безграмотности;6,42;Факт;64;120х168;;0;Использование ПК в целом;Учебники
31;5110;ЛОЖЬ;Аппаратные средства мультимедия. Видеосистема РС;15,51;BHV С.-Петербург;400;70х100/16;24.07.2000;5000;Использование ПК в целом;Аппаратные средства ПК
32;5031;ЛОЖЬ;PC: настройка оптимизация и разгон. 2-е издание.;17,05;BHV С.-Петербург;336;70х100/16;09.08.2000;4000;Использование ПК в целом;Аппаратные средства ПК
33;5030;ЛОЖЬ;Цифровые процессоры обработки сигналов фирмы Motorola.;22,77;BHV С.-Петербург;512;70х100/16;17.08.2000;3000;Использование ПК в целом;Аппаратные средства ПК
34;3290;ЛОЖЬ;Персональный компьютер: модернизация и ремонт;25,63;BHV С.-Петербург;528;70х100\16;11.03.1999;4000;Использование ПК в целом;Аппаратные средства ПК
